Debbug/e_cond_ij_0/e,Debbug/e_cond_ij_0/gt,Debbug/e_cond_ij_1/e,Debbug/e_cond_ij_1/gt,Debbug/e_cond_ij_2/e,Debbug/e_cond_ij_2/gt,Debbug/e_cond_ij_3/e,Debbug/e_cond_ij_3/gt,Debbug/e_cond_ij_4/e,Debbug/e_cond_ij_4/gt,Debbug/e_i_cond_slash0/e,Debbug/e_i_cond_slash0/gt,Debbug/e_i_cond_slash1/e,Debbug/e_i_cond_slash1/gt,Debbug/e_i_cond_slash2/e,Debbug/e_i_cond_slash2/gt,Debbug/e_i_cond_slash3/e,Debbug/e_i_cond_slash3/gt,Debbug/e_i_cond_slash4/e,Debbug/e_i_cond_slash4/gt,Debbug/e_i_cond_slash5/e,Debbug/e_i_cond_slash5/gt,Debbug/e_joint/e,Debbug/e_joint/gt,Debbug/e_joint_i0/e,Debbug/e_joint_i0/gt,Debbug/e_joint_i1/e,Debbug/e_joint_i1/gt,Debbug/e_joint_i2/e,Debbug/e_joint_i2/gt,Debbug/e_joint_i3/e,Debbug/e_joint_i3/gt,Debbug/e_joint_i4/e,Debbug/e_joint_i4/gt,Debbug/e_joint_i5/e,Debbug/e_joint_i5/gt,Debbug/e_marg_i0/e,Debbug/e_marg_i0/gt,Debbug/e_marg_i1/e,Debbug/e_marg_i1/gt,Debbug/e_marg_i2/e,Debbug/e_marg_i2/gt,Debbug/e_marg_i3/e,Debbug/e_marg_i3/gt,Debbug/e_marg_i4/e,Debbug/e_marg_i4/gt,Debbug/e_marg_i5/e,Debbug/e_marg_i5/gt,Measures/dtc/e,Measures/dtc/gt,Measures/o_inf/e,Measures/o_inf/gt,Measures/tc/e,Measures/tc/gt,epoch,g_o_inf/i_x0/e,g_o_inf/i_x0/gt,g_o_inf/i_x1/e,g_o_inf/i_x1/gt,g_o_inf/i_x2/e,g_o_inf/i_x2/gt,g_o_inf/i_x3/e,g_o_inf/i_x3/gt,g_o_inf/i_x4/e,g_o_inf/i_x4/gt,g_o_inf/i_x5/e,g_o_inf/i_x5/gt,loss,loss_test,step
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1.9481766787994523,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.3923968062910803,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1.7398024550583235,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.2836252471682887,,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1.689560905240191,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1.5251006374134048,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1.9180532749797445,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.189658940781912,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.2742565021619523,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.0151602902949817,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1.856824106014721,,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1.561100452538199,,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1.8344606864234925,37
