epoch,loss,loss_test,step
0,2.3334744408169787,,0
0,1.9100942034865493,,1
0,1.7304755181526474,,2
0,1.3178941392434913,,3
0,1.4640465793573925,,4
0,1.3868747159546597,,5
0,1.4942498301536098,,6
0,1.356863580440873,,7
0,1.2916017611431463,,8
0,1.5780740653455743,,9
0,1.517387843334552,,10
0,1.3398610591163207,,11
0,1.5066924550984087,,12
0,1.1883498998761763,,13
0,1.504596014923103,,14
0,1.2190786742534145,,15
0,1.3621700813868731,,16
0,1.2683669524679035,,17
0,1.4156418453680981,,18
0,,1.3597833569264106,18
1,1.2315592101028043,,19
1,1.5276586164237567,,20
1,1.5009173091671268,,21
1,1.3523940166559518,,22
1,1.4818299649958693,,23
1,1.190552980000383,,24
1,1.5701653700238647,,25
1,1.5510003554324385,,26
1,1.6162519480954323,,27
1,1.3822544357169142,,28
1,1.5083261278074518,,29
1,1.3605301632694435,,30
1,1.4502571112999416,,31
1,1.1462444137058352,,32
1,1.1771531208904942,,33
1,1.2141485988057092,,34
1,0.9267741575848253,,35
1,0.8032275702414042,,36
1,1.0910150291271306,,37
1,,1.0975709404496083,37
2,1.0497551338769466,,38
2,1.0295800443931926,,39
2,0.9380066202068539,,40
2,1.2977055046966106,,41
2,1.0413009547523404,,42
2,0.9546047691009568,,43
2,0.9851579272499782,,44
2,0.9751454686745114,,45
2,1.029558414369965,,46
2,1.0950718517300573,,47
2,1.0607335747775295,,48
2,0.966006070672903,,49
2,1.2598693529148248,,50
2,1.2321050243867153,,51
2,1.0836753773680752,,52
2,1.0100776016467072,,53
2,1.0781100111032123,,54
2,0.9862410279422672,,55
2,1.319482378851828,,56
2,,1.1315755927825373,56
