epoch,loss,loss_test,step
0,3.167591619055705,,0
0,3.032620502294744,,1
0,2.6363199891206377,,2
0,2.679483833112646,,3
0,2.1488187128532408,,4
0,2.2043084960999177,,5
0,2.287797321528389,,6
0,2.275898065852485,,7
0,2.150328973298505,,8
0,2.309036286932881,,9
0,1.7821824092232306,,10
0,1.875346733004557,,11
0,2.1141365507449525,,12
0,1.6988328364783485,,13
0,2.0732758946278116,,14
0,2.072509988023969,,15
0,1.8370841152148545,,16
0,1.5503802555022972,,17
0,1.9593760341500255,,18
0,,1.902303142701045,18
1,1.6377668310365374,,19
1,1.8866846354253692,,20
1,2.043624309469594,,21
1,2.1349990796617284,,22
1,1.9923263914083438,,23
1,2.0174082945373786,,24
1,1.73102506771025,,25
1,2.2287545309574734,,26
1,2.1854122268856297,,27
1,1.9408814952774782,,28
1,2.022196046373452,,29
1,1.9755678390077853,,30
1,2.043428506881016,,31
1,2.1113904389558504,,32
1,1.9577472462079888,,33
1,1.561514550983198,,34
1,1.9220643368794073,,35
1,1.8968965295585318,,36
1,1.7230490388060757,,37
1,,1.915293404909801,37
2,1.8573182792915575,,38
2,2.015870871571404,,39
2,2.147391967042697,,40
2,1.7399439278126034,,41
2,1.7037560262228635,,42
2,1.7494320263364704,,43
2,1.6436527550616362,,44
2,1.783191657968512,,45
2,1.6160820841070118,,46
2,1.5936083618915196,,47
2,1.8213136094815225,,48
2,1.5741192167647748,,49
2,1.5223949259588714,,50
2,1.7344330481782628,,51
2,1.7424620945668172,,52
2,1.5689111797723623,,53
2,1.5797156193399058,,54
2,1.5141256576588797,,55
2,1.8877175016102026,,56
2,,1.4898678824932077,56
