Debbug/e_i_cond_slash0/e,Debbug/e_i_cond_slash0/gt,Debbug/e_i_cond_slash1/e,Debbug/e_i_cond_slash1/gt,Debbug/e_i_cond_slash2/e,Debbug/e_i_cond_slash2/gt,Debbug/e_i_cond_slash3/e,Debbug/e_i_cond_slash3/gt,Debbug/e_i_cond_slash4/e,Debbug/e_i_cond_slash4/gt,Debbug/e_i_cond_slash5/e,Debbug/e_i_cond_slash5/gt,Debbug/e_joint/e,Debbug/e_joint/gt,Debbug/e_marg_i0/e,Debbug/e_marg_i0/gt,Debbug/e_marg_i1/e,Debbug/e_marg_i1/gt,Debbug/e_marg_i2/e,Debbug/e_marg_i2/gt,Debbug/e_marg_i3/e,Debbug/e_marg_i3/gt,Debbug/e_marg_i4/e,Debbug/e_marg_i4/gt,Debbug/e_marg_i5/e,Debbug/e_marg_i5/gt,Measures/dtc/e,Measures/dtc/gt,Measures/o_inf/e,Measures/o_inf/gt,Measures/tc/e,Measures/tc/gt,epoch,loss,loss_test,step
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.397097949965372,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1.5402235786738496,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028206320479512215,1.0917791932861967,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006281280890107155,0.02345052029832928,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,0.03448760136961937,1.0683286729878674,,,,,,,,57
,,,,,,,,,,,,,,-2.692325711250305,1.4189385332046727,,,,,,,,,,,,,,,,,,,,57
-2.5961581468582153,1.1200200328268641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,-4.326524019241333,1.4189385332046727,,,,,,,,,,,,,,,,,,57
,,-4.295468330383301,1.1200200328268641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,-4.447195529937744,1.4189385332046727,,,,,,,,,,,,,,,,57
,,,,-4.412265300750732,1.1200200328268641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,-3.893935799598694,1.4189385332046727,,,,,,,,,,,,,,57
,,,,,,-3.833356499671936,0.9484468609724139,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,-7.520957708358765,1.4189385332046727,,,,,,,,,,,,57
,,,,,,,,-7.380105257034302,0.8492213916104951,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,-3.8587677478790283,1.4189385332046727,,,,,,,,,,57
,,,,,,,,,,-3.8176064491271973,1.1957949818904678,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,-26.839411735534668,7.4218520059418385,,,,,,,,,,,,,,,,,,,,,,57
